"ts;""comp_amt"";""comp_rgainfinal"";""comp_round"";""num"";""id"";""gr"";""lang"""
"2024-10-08 02:00:10;50000;313257;1;121;""oI"";""2"";1"
"2024-10-08 02:00:22;50000;648312;5;122;""DT"";""1"";1"
"2024-10-08 03:05:08;50000;0;9;123;""7T"";""1"";1"
"2024-10-08 03:34:30;50000;959594;7;124;""bX"";""2"";1"
"2024-10-08 04:20:39;50000;787414;9;125;""Dg"";""2"";1"
"2024-10-08 07:52:27;100000;1044459;11;126;""0P"";""1"";1"
"2024-10-08 21:41:30;50000;0;3;127;""DL"";""2"";1"
"2024-10-09 04:36:51;50000;915019;10;128;""5u"";""2"";1"
"2024-10-09 12:02:34;50000;757373;3;129;""5Q"";""2"";1"
"2024-10-10 02:47:56;100000;4877447;14;130;""EP"";""1"";1"
"2024-10-10 03:10:23;100000;1557674;12;131;""W0"";""1"";1"
"2024-10-10 11:52:50;50000;856282;11;132;""cu"";""1"";1"
"2024-10-10 12:25:33;50000;960136;10;133;""Wb"";""1"";1"
"2024-10-10 12:35:21;50000;960136;10;134;""Wb"";""1"";1"
"2024-10-10 13:01:45;50000;574113;8;135;""zi"";""1"";1"
"2024-10-10 13:11:54;100000;1024326;11;136;""LK"";""2"";1"
"2024-10-10 13:33:11;50000;844938;11;137;""pW"";""2"";1"
"2024-10-10 13:56:29;100000;4836932;15;138;""Wi"";""1"";1"
"2024-10-10 15:14:49;50000;313442;2;139;""La"";""2"";1"
"2024-10-10 15:15:39;50000;793541;7;140;""SH"";""1"";1"
"2024-10-10 15:16:54;50000;741405;6;141;""ll"";""2"";1"
"2024-10-10 15:17:17;100000;1176140;13;142;""4q"";""2"";1"
"2024-10-10 15:19:24;100000;4493470;13;143;""dO"";""1"";1"
"2024-10-10 15:25:42;50000;949353;10;144;""gK"";""2"";1"
"2024-10-10 16:38:16;50000;0;2;145;""P3"";""2"";1"
"2024-10-10 17:46:10;50000;656414;3;146;""pb"";""2"";1"
"2024-10-10 17:46:53;50000;557790;3;147;""kJ"";""1"";1"
"2024-10-10 18:07:18;100000;1154792;12;148;""c6"";""1"";1"
"2024-10-10 18:42:27;200000;5732063;15;149;""22"";""2"";1"
"2024-10-10 19:10:23;100000;1041013;5;150;""PL"";""1"";1"
"2024-10-10 19:27:19;50000;384765;2;151;""gW"";""1"";1"
"2024-10-10 19:34:23;100000;1245253;4;152;""mz"";""2"";1"
"2024-10-11 01:26:39;50000;404873;2;153;""7R"";""2"";1"
"2024-10-11 01:38:25;100000;4836932;14;154;""ps"";""1"";1"
"2024-10-11 07:07:46;50000;411389;10;155;""Ny"";""1"";1"
"2024-10-11 07:12:00;200000;5249238;15;156;""nz"";""2"";1"
"2024-10-11 09:53:04;5;885252;9;157;""fW"";""1"";0"
"2024-10-11 11:13:52;50000;980821;10;158;""sE"";""2"";1"
"2024-10-11 11:15:37;50000;479836;8;159;""fx"";""2"";1"
"2024-10-11 11:18:21;50000;449972;2;160;""Sj"";""1"";1"
"2024-10-11 11:20:15;50000;883909;5;161;""lJ"";""1"";1"
"2024-10-11 11:22:36;100000;1134400;4;162;""v4"";""2"";1"
"2024-10-11 11:33:29;100000;1024326;11;163;""KO"";""2"";1"
"2024-10-11 12:32:11;50000;666642;9;164;""c0"";""1"";1"
"2024-10-11 15:08:33;50000;411624;11;165;""85"";""1"";1"
"2024-10-11 15:32:58;50000;807986;7;166;""DO"";""2"";1"
"2024-10-11 15:58:50;50000;741501;9;167;""Hy"";""1"";1"
"2024-10-11 15:59:31;50000;329708;2;168;""VN"";""2"";1"
