"ts;""counter"";""num"";""id"";""gr"";""lang"";""au"""
"2024-10-08 01:27:37;1;1083;""AR"";""1"";1;0"
"2024-10-08 01:28:13;1;1084;""s2"";""2"";1;0"
"2024-10-08 01:28:17;1;1085;""sr"";""1"";1;1"
"2024-10-08 01:28:47;1;1086;""jx"";""2"";1;1"
"2024-10-08 01:31:55;1;1087;""DT"";""1"";1;0"
"2024-10-08 01:33:34;1;1088;""oI"";""2"";1;0"
"2024-10-08 01:33:48;1;1089;""hN"";""1"";1;1"
"2024-10-08 01:37:27;1;1090;""bX"";""2"";1;1"
"2024-10-08 01:38:22;1;1091;""GA"";""1"";1;0"
"2024-10-08 01:39:48;1;1092;""b3"";""2"";1;0"
"2024-10-08 01:40:26;1;1093;""eo"";""1"";1;1"
"2024-10-08 01:41:23;1;1094;""c4"";""2"";1;1"
"2024-10-08 01:42:14;1;1095;""XP"";""1"";1;0"
"2024-10-08 01:44:07;1;1096;""CT"";""2"";1;0"
"2024-10-08 01:44:08;1;1097;""0P"";""1"";1;1"
"2024-10-08 01:52:46;1;1098;""7E"";""2"";1;1"
"2024-10-08 01:53:30;1;1099;""hj"";""1"";1;0"
"2024-10-08 01:56:27;1;1100;""uE"";""2"";1;0"
"2024-10-08 02:03:07;1;1101;""sD"";""1"";1;1"
"2024-10-08 02:15:00;1;1102;""pL"";""2"";1;1"
"2024-10-08 02:24:19;1;1103;""7P"";""1"";1;0"
"2024-10-08 02:43:01;1;1104;""SZ"";""2"";1;0"
"2024-10-08 02:44:39;1;1105;""7T"";""1"";1;1"
"2024-10-08 03:38:29;1;1106;""Dg"";""2"";1;1"
"2024-10-08 03:57:07;1;1107;""J2"";""1"";1;0"
"2024-10-08 07:43:51;1;1108;""Jp"";""1"";0;1"
"2024-10-08 07:43:56;1;1109;""dV"";""2"";1;0"
"2024-10-08 10:27:10;1;1110;""3L"";""1"";1;0"
"2024-10-08 21:07:57;1;1111;""DL"";""2"";1;1"
"2024-10-09 00:22:23;1;1112;""Sf"";""1"";1;1"
"2024-10-09 00:36:06;1;1113;""jv"";""2"";1;0"
"2024-10-09 00:37:46;1;1114;""u7"";""1"";1;0"
"2024-10-09 00:42:23;1;1115;""nF"";""2"";1;1"
