"gr;""id"";""lang"";""ts"";""round"";""trx"";""sec"";""pos"";""activity"";""price"";""crypto"";""fiat"";""crypto_prev"";""fiat_prev"";""sell"";""buy"";""buy_prev"";""t_gain"";""t_tax"";""t_gain_net"";""r_gain"";""r_gain_prev"";""r_tax"";""r_tax_prev"";""r_gain_net"";""tax_disclos"";""tax_discre"";""audit"";""penalty"";""r_gain_final"";""num"""
"1;""DT"";1;""2024-10-08 01:38:19"";0;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1"
"1;""DT"";1;""2024-10-08 01:42:40"";0;1;24;""b"";""selling"";1059449;0.0;1059449;1.0;0;1059449;0;0;1059449;211889;847560;1059449;0;211889;0;847560;0;211889;0;0;1059449;2"
"1;""DT"";1;""2024-10-08 01:42:50"";0;2;14;""s"";""buying"";1035805;1.02;0;0.0;1059449;0;1035805;1035805;0;0;0;1059449;1059449;211889;211889;847560;0;211889;0;0;1059449;3"
"2;""oI"";1;""2024-10-08 01:42:58"";0;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4"
"1;""DT"";1;""2024-10-08 01:43:01"";0;3;3;""b"";""selling"";848699;0.0;865673;1.02;0;848699;1035805;1035805;-187106;0;-187106;872343;1059449;174468;211889;697875;174469;-1;1;0;697875;5"
"1;""DT"";1;""2024-10-08 01:44:06"";1;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6"
"1;""DT"";1;""2024-10-08 01:44:48"";1;1;6;""b"";""selling"";361688;0.0;361688;1.0;0;361688;0;0;361688;72337;289351;361688;0;72337;0;289351;0;72337;0;0;361688;7"
"2;""oI"";1;""2024-10-08 01:50:52"";5;4;27;""s"";""buying"";1001972;1.02;0;0.0;1026642;0;1001972;1001972;0;0;0;1027926;1027926;205585;205585;822341;0;205585;0;0;1027926;8"
"1;""DT"";1;""2024-10-08 01:44:48"";1;1;1;""b"";""selling"";394709;0.0;394709;1.0;0;394709;0;0;394709;78941;315768;394709;0;78941;0;315768;78942;-1;0;0;315767;9"
"1;""DT"";1;""2024-10-08 01:45:18"";2;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10"
"2;""oI"";1;""2024-10-08 01:50:56"";5;5;23;""b"";""selling"";848699;0.0;865673;1.02;0;848699;1001972;1001972;-153273;0;-153273;874653;1027926;174930;205585;699723;174930;0;1;0;699723;11"
"1;""DT"";1;""2024-10-08 01:45:44"";2;1;23;""b"";""selling"";409837;0.0;409837;1.0;0;409837;0;0;409837;81967;327870;409837;0;81967;0;327870;81968;-1;0;0;327869;12"
"1;""DT"";1;""2024-10-08 01:51:01"";7;3;13;""b"";""selling"";934437;0.0;878371;0.94;0;934437;870625;870625;63812;12762;51050;883061;819249;176612;163849;706449;0;176612;0;0;883061;13"
